5.00	241.26	111.26	13	0.54	63.00	1.55	21.67
6.00	244.78	110.00	13	3.74	87.00	1.42	21.11
7.00	244.88	110.31	13	0.33	65.00	1.80	21.57
8.00	244.87	110.31	13	0.01	52.00	1.74	19.48
9.00	245.34	109.62	13	0.83	64.00	1.29	14.31
10.00	244.59	109.12	13	0.90	68.00	1.56	20.75
11.00	244.62	109.79	13	0.67	45.00	2.50	20.04
12.00	244.39	109.59	13	0.30	48.00	2.10	22.35
13.00	246.20	109.78	13	1.82	32.00	2.39	18.43
7.00	282.51	35.24	14	-1.00	87.00	1.55	21.32
8.00	283.08	35.00	14	0.62	35.00	2.67	18.99
9.00	284.17	35.57	14	1.23	44.00	1.69	20.58
10.00	284.58	33.54	14	2.07	50.00	1.67	23.71
11.00	283.26	33.18	14	1.37	58.00	2.05	20.48
12.00	282.01	33.02	14	1.26	71.00	1.80	19.76
13.00	283.39	33.40	14	1.43	36.00	2.75	28.99
15.00	284.75	36.27	14	-1.00	113.00	1.61	25.75
16.00	285.71	36.21	14	0.96	88.00	1.66	22.94
17.00	289.46	32.57	14	5.23	41.00	1.44	18.98
18.00	289.59	32.81	14	0.27	78.00	0.99	18.23
19.00	290.34	32.52	14	0.80	51.00	1.46	21.06
20.00	289.34	32.27	14	1.03	42.00	1.57	17.99
21.00	290.03	32.56	14	0.75	34.00	2.25	17.61
23.00	290.15	31.88	14	-1.00	68.00	1.37	20.15
24.00	289.22	31.77	14	0.94	82.00	1.41	20.61
25.00	289.34	32.10	14	0.35	66.00	1.66	21.42
26.00	288.76	31.87	14	0.62	43.00	1.63	15.85
27.00	289.67	32.19	14	0.96	57.00	1.64	20.55
28.00	289.26	32.39	14	0.46	55.00	1.86	21.79
29.00	289.63	31.91	14	0.61	50.00	1.52	14.22
30.00	288.79	31.25	14	1.07	63.00	1.22	20.27
2.00	296.30	85.94	15	-1.00	89.00	1.00	21.73
3.00	297.52	85.99	15	1.22	50.00	2.11	18.94
4.00	297.03	84.51	15	1.56	38.00	1.77	19.17
5.00	297.24	85.25	15	0.77	76.00	1.63	13.70
6.00	296.78	84.29	15	1.06	47.00	1.55	16.17
7.00	297.11	85.24	15	1.01	52.00	2.03	16.15
8.00	297.99	85.54	15	0.93	36.00	1.95	19.40
9.00	297.77	85.12	15	0.47	72.00	1.30	20.96
10.00	297.14	85.31	15	0.66	80.00	1.34	23.20
11.00	296.38	84.45	15	1.15	52.00	1.53	17.52
12.00	296.71	85.85	15	1.44	57.00	1.80	18.43
13.00	297.38	85.88	15	0.67	63.00	1.58	19.65
14.00	296.25	86.57	15	1.32	77.00	1.41	22.68
